id	isbn	title	authors	publication_year	
1096	7325940	Dark Days	Derek Landy	2010	
1097	7325983	Mortal Coil	Derek Landy	2010	
1098	7331789	Death of Kings	Bernard Cornwell	2011	
1099	7331908	The Pagan Lord	Bernard Cornwell	2013	
1100	7345631	The Single Girl's To-Do List	Lindsey Kelk	2011	
1101	7350430	The Time of My Life	Cecelia Ahern	2011	
1102	7350481	One Hundred Names	Cecelia Ahern	2012	
1103	7423292	Prince of Thorns	Mark  Lawrence	2011	
1104	7442912	Insurgent	Veronica Roth	2012	
1105	7466064	A Dance With Dragons: Part 1 Dreams and Dust	George R.R. Martin	2011	
1106	7466072	A Dance With Dragons: Part 2 After The Feast	George R.R. Martin	2011	
1107	7491433	The Shock of the Fall	Nathan Filer	2013	
1108	7524277	Allegiant	Veronica Roth	2013	
1109	7557906	Analfabeten som kunde räkna	Jonas Jonasson, Rachel Willson-Broyles	2013	
1110	7563035	The Ice Twins	S.K. Tremayne	2015	
1111	8143676	Happily Ever After	Kiera Cass	2015	
1112	20248717	Way Station	Clifford D. Simak	1963	
1113	20306652	Ball Four	Jim Bouton	1970	
1114	20425651	The Dark Is Rising Sequence (The Dark Is Rising, #1-5)	Susan Cooper	1984	
1115	27436292	King of the Wind: The Story of the Godolphin Arabian	Marguerite Henry, Wesley Dennis	1948	
1116	28610105	How to Cook Everything: Simple Recipes for Great Food	Mark Bittman	1998	
1117	60002107	L'ignorance	Milan Kundera, Linda Asher	2000	
1118	60002492	Amazonia	James Rollins	2002	
1119	60004878	Live by Night	Dennis Lehane	2012	
1120	60005696	The Paradox of Choice: Why More Is Less	Barry Schwartz	2004	
1121	60005777	The Story of the Trapp Family Singers	Maria Augusta von Trapp	1949	
1122	60007761	Архипелаг ГУЛАГ, 1918-1956	Aleksandr Solzhenitsyn, Edward E. Ericson Jr.	1973	
1123	60009241	See Jane Score	Rachel Gibson	2003	
1124	60012382	The Wee Free Men	Terry Pratchett	2003	
1125	60012781	A Cook's Tour: Global Adventures in Extreme Cuisines	Anthony Bourdain	2001	
1126	60080841	The Stepford Wives	Ira Levin	1972	
1127	60082097	Mortal Engines	Philip Reeve	2001	
1128	60085495	Island	Aldous Huxley	1962	
1129	60085894	Frida. A Biography of Frida Kahlo	Hayden Herrera	1983	
1130	60086246	Last Chance Saloon	Marian Keyes	1999	
1131	60087803	Calling Doctor Amelia Bedelia (I Can Read Book 2)	Herman Parish, Lynn Sweat	2002	
1132	60088877	The Bridge of San Luis Rey	Thornton Wilder	1927	
1133	60090375	Lucy Sullivan is Getting Married	Marian Keyes	1996	
1134	60090383	Rachel's Holiday	Marian Keyes	1997	
1135	60092572	The Terminal Man	Michael Crichton	1972	
1136	60093366	Vampire Kisses	Ellen Schreiber	2003	
1137	60094893	Staying Fat for Sarah Byrnes	Chris Crutcher	1993	
1138	60096098	Princess in Waiting (The Princess Diaries, #4)	Meg Cabot	2002	
1139	60096128	Princess in Pink	Meg Cabot	2003	
1140	60096152	Princess in Training	Meg Cabot	2006	
1141	60096187	Teen Idol	Meg Cabot	2004	
1142	60097477	Dancing in my nuddy-pants!	Louise Rennison	2002	
1143	60097914	Flat Stanley	Jeff Brown, Scott Nash, Macky Pamintuan	1964	
1144	60177241	The Thief of Always	Clive Barker	1992	
1145	60182989	Mister B. Gone	Clive Barker	2007	
1146	60198818	India After Gandhi: The History of the World's Largest Democracy	Ramachandra Guha	2007	
1147	60245867	If You Give a Mouse a Cookie	Laura Joffe Numeroff, Felicia Bond	1985	
1148	60256575	The Missing Piece Meets the Big O	Shel Silverstein	1981	
1149	60256656	The Giving Tree	Shel Silverstein	1964	
1150	60256710	The Missing Piece	Shel Silverstein	1976	
1151	60264802	These Happy Golden Years	Laura Ingalls Wilder, Garth Williams	1943	
1152	60266864	If You Give a Pig a Pancake 	Laura Joffe Numeroff, Felicia Bond	1998	
1153	60266880	Come Back, Amelia Bedelia	Peggy Parish, Wallace Tripp	1971	
1154	60267887	Frog And Toad Book Set: Frog And Toad Are Friends; Frog And Toad Together; Days With Frog And Toad; Frog And Toad All Year	Arnold Lobel	1987	
1155	60278250	Abhorsen	Garth Nix	2003	
1156	60278684	If You Take a Mouse to the Movies	Laura Joffe Numeroff, Felicia Bond	2000	
1157	60283246	If You Give a Cat a Cupcake	Laura Joffe Numeroff, Felicia Bond	2008	
1158	60283262	If You Give a Pig a Party (If You Give...)	Laura Joffe Numeroff, Felicia Bond	2000	
1159	60288132	It's OK, I'm Wearing Really Big Knickers! (Confessions of Georgia Nicolson, #2)	Louise Rennison	2000	
1160	60288140	Angus, Thongs and Full-Frontal Snogging	Louise Rennison	1999	
1161	60393491	The Hour I First Believed	Wally Lamb	2007	
1162	60502932	Going Postal	Terry Pratchett	2004	
1163	60507772	The Last Hero	Terry Pratchett, Paul Kidby	2001	
1164	60510862	The Forever War	Joe Haldeman	1974	
1165	60512148	Angels	Marian Keyes	2002	
1166	60512180	The Beauty Myth: How Images of Beauty Are Used Against Women	Naomi Wolf	1990	
1167	60512628	My Friend Flicka (Flicka, #1)	Mary O'Hara, Dave Blossom	1941	
1168	60512636	Our Town: A Play in Three Acts	Thornton Wilder, Donald Margulies, Tappan Wilder	1938	
1169	60512741	The Lathe of Heaven	Ursula K. Le Guin	1971	
1170	60512806	Cryptonomicon	Neal Stephenson	1999	
1171	60513039	Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein	Shel Silverstein	1974	
1172	60513063	A Light in the Attic	Shel Silverstein	1981	
1173	60513098	Falling Up	Shel Silverstein	1996	
1174	60514094	Molly Moon's Incredible Book of Hypnotism	Georgia Byng	2002	
1175	60515198	Anansi Boys	Neil Gaiman	2005	
1176	60515228	Fragile Things: Short Fictions and Wonders	Neil Gaiman	2006	
1177	60517123	Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers	Geoffrey A. Moore, Regis McKenna	1991	
1178	60518502	Manhunt: The 12-Day Chase for Lincoln's Killer	James L. Swanson	2006	
1179	60519134	Savannah Blues	Mary Kay Andrews	2002	
1180	60519568	Touching Darkness (Midnighters, #2)	Scott Westerfeld	2005	
1181	60519592	Blue Noon (Midnighters, #3)	Scott Westerfeld	2006	
1182	60520620	The Proper Care and Feeding of Husbands	Laura C. Schlessinger	2003	
1183	60521228	The Whipping Boy	Sid Fleischman, Peter Sís	1986	
1184	60521600	Ice Hunt	James Rollins	2003	
1185	60521996	The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business (Collins Business Essentials)	Clayton M. Christensen	1997	
1186	60525118	Size 12 Is Not Fat (Heather Wells, #1)	Meg Cabot	2005	
1187	60525126	Size 14 Is Not Fat Either	Meg Cabot	2006	
1188	60525134	Big Boned (Heather Wells, #3)	Meg Cabot	2007	
1189	60525592	Fire and Ice	Erin Hunter	2003	
1190	60525614	Forest of Secrets	Erin Hunter	2003	
1191	60525630	Rising storm	Erin Hunter	2005	
1192	60525657	A Dangerous Path	Erin Hunter	2004	
1193	60527986	Manual do guerreiro da luz	Paulo Coelho	1997	
1194	60527994	O Demônio e a Srta. Prym	Paulo Coelho, Amanda Hopkinson, Nick Caistor	2000	
1195	60529709	Everything Is Illuminated	Jonathan Safran Foer	2002	
1196	60529962	The Little House Collection	Laura Ingalls Wilder, Garth Williams	1953	
1197	60530928	The Graveyard Book	Neil Gaiman, Dave McKean	2008	
1198	60531045	Cien años de soledad	Gabriel García Márquez, Gregory Rabassa	1967	
1199	60531231	When He was Wicked	Julia Quinn	2004	
1200	60531258	On the Way to Wedding	Julia Quinn	2006	
1201	60531827	Airborn	Kenneth Oppel	2004	
1202	60533994	The Secret Diary of Adrian Mole, Aged 13 3/4	Sue Townsend	1982	
1203	60534044	Kisscut	Karin Slaughter	2002	
1204	60534052	A Faint Cold Fear	Karin Slaughter	2003	
1205	60535032	La ciudad de las bestias	Isabel Allende, Margaret Sayers Peden	2002	
1206	60536357	Barbarians at the Gate: The Fall of RJR Nabisco	Bryan Burrough, John Helyar	1990	
1207	60539097	How to Make Love Like a Porn Star: A Cautionary Tale	Jenna Jameson, Neil Strauss	2004	
1208	60539828	Burning Chrome and Other Stories	William Gibson, Bruce Sterling	1986	
1209	60540745	Loser	Jerry Spinelli	2002	
1210	60541431	13 Little Blue Envelopes	Maureen Johnson	2005	
1211	60541814	The Andromeda Strain	Michael Crichton	1969	
1212	60541830	Congo	Michael Crichton	1980	
1213	60542098	Fancy Nancy	Jane O'Connor, Robin Preiss Glasser	2005	
1214	60548258	The Crystal Cave	Mary  Stewart	1970	
1215	60548266	The Hollow Hills	Mary  Stewart	1973	
1216	60548924	A Lion Among Men	Gregory Maguire, Douglas Smith	2008	
1217	60554738	The Game	Neil Strauss	2005	
1218	60555661	The Intelligent Investor	Benjamin Graham, Jason Zweig, Warren Buffett	2003	
1219	60555955	Sushi for Beginners	Marian Keyes	2000	
1220	60556579	The Red Queen: Sex and the Evolution of Human Nature	Matt Ridley	1993	
1221	60557818	Neverwhere	Neil Gaiman	1996	
1222	60560118	The Nanny	Melissa Nathan	2003	
1223	60560150	Ruby Holler	Sharon Creech	2002	
1224	60562250	Lemony Snicket: The Unauthorized Autobiography	Lemony Snicket	2002	
1225	60562498	It Happened One Autumn	Lisa Kleypas	2005	
1226	60562536	Scandal in Spring	Lisa Kleypas	2006	
1227	60564652	Hissy Fit	Mary Kay Andrews	2004	
1228	60564679	Savannah Breeze	Mary Kay Andrews	2006	
1229	60564784	The Kindness of Strangers	Katrina Kittle	2006	
1230	60566108	Built to Last: Successful Habits of Visionary Companies	James C. Collins, Jerry I. Porras	1994	
1231	60566213	The Ersatz Elevator	Lemony Snicket, Brett Helquist	2001	
1232	60566221	The Vile Village	Lemony Snicket, Brett Helquist	2001	
1233	60567112	Indelible	Karin Slaughter	2004	
1234	60567236	Lord of Light	Roger Zelazny, Sönmez Güven	1967	
1235	60569662	Autobiography of a Face	Lucy Grealy	1994	
1236	60572159	Truth & Beauty: A Friendship	Ann Patchett	2004	
1237	60572965	Dead Witch Walking	Kim Harrison	2004	
1238	60572973	The Good, the Bad, and the Undead	Kim Harrison	2005	
1239	60574216	Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships	John Gray	1998	
1240	60575808	The Two Princesses of Bamarre	Gail Carson Levine	2001	
1241	60576170	Der Tod in Venedig	Thomas Mann, Michael Henry Heim, Michael Cunningham	1912	
1242	60577312	Magyk	Angie Sage	2005	
1243	60577363	Flyte	Angie Sage, Mark Zug	2006	
1244	60577371	Physik	Angie Sage, Mark Zug	2007	
1245	60580674	Sandstorm	James Rollins	2004	
1246	60584025	Metro Girl	Janet Evanovich	2004	
1247	60584033	Motor Mouth	Janet Evanovich	2006	
1248	60584750	Mystic River	Dennis Lehane	2001	
1249	60586133	Three Wishes	Liane Moriarty	2003	
1250	60586370	The Way the Crow Flies	Ann-Marie MacDonald	2003	
1251	60588284	Kitten's First Full Moon	Kevin Henkes	2004	
1252	60589280	Onze minutos	Paulo Coelho, Margaret Jull Costa	2003	
1253	60589353	...and that's when it fell off in my hand	Louise Rennison	2004	
1254	60589469	Zen and the Art of Motorcycle Maintenance	Robert M. Pirsig	1974	
1255	60590165	Lirael	Garth Nix	2001	
1256	60590270	A Dirty Job	Christopher Moore	2006	
1257	60590297	You Suck 	Christopher Moore	2007	
1258	60590319	Fool	Christopher Moore	2009	
1259	60593083	Quicksilver	Neal Stephenson	2003	
1260	60594527	Lost Horizon	James Hilton	1933	
1261	60594667	Crooked Letter, Crooked Letter	Tom Franklin	2009	
1262	60594772	Beaches	Iris Rainer Dart	1985	
1263	60594896	The Success Principles	Jack Canfield, Janet Switzer	2004	
1264	60595183	The Doors of Perception & Heaven and Hell	Aldous Huxley	1956	
1265	60596384	Days of Magic, Nights of War	Clive Barker	2004	
1266	60596988	Lit	Mary Karr	2008	
1267	60598328	The Saving Graces	Patricia Gaffney	1999	
1268	60608528	Gemeinsames Leben	Dietrich Bonhoeffer	1939	
1269	60628391	Celebration of Discipline: The Path to Spiritual Growth	Richard J. Foster	1978	
1270	60638508	Sein und Zeit	Martin Heidegger	1927	
1271	60652381	A Grief Observed	C.S. Lewis	1961	
1272	60652896	A Grief Observed	C.S. Lewis	1942	
1273	60652942	The Abolition of Man	C.S. Lewis	1943	
1274	60653205	The Weight of Glory	C.S. Lewis	1949	
1275	60684127	The Knowledge of the Holy: The Attributes of God: Their Meaning in the Christian Life	A.W. Tozer	1961	
1276	60688246	A Severe Mercy	Sheldon Vanauken, C.S. Lewis	1977	
1277	60723513	Mutant Message Down Under	Marlo Morgan	1990	
1278	60724277	I'm OK-You're OK	Thomas A. Harris	1967	
1279	60724501	Ready or Not	Meg Cabot	2005	
1280	60724552	Party Princess	Meg Cabot	2006	
1281	60724560	Princess on the Brink	Meg Cabot	2006	
1282	60724617	Princess Mia	Meg Cabot	2007	
1283	60724692	Twilight	Meg Cabot	2005	
1284	60725117	Shadowland	Meg Cabot	2000	
1285	60725125	Ninth Key	Meg Cabot	2001	
1286	60725133	Reunion	Meg Cabot	2001	
1287	60725141	Darkest Hour	Meg Cabot	2001	
1288	60727217	The Black Lyon	Jude Deveraux	1980	
1289	60727535	Cash: The Autobiography of Johnny Cash	Johnny Cash, Patrick   Carr	1997	
1290	60728272	Wolf Brother	Michelle Paver, Geoff Taylor	2004	
1291	60730269	Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and (Possibly) Save the World	Katherine Hannigan	2004	
1292	60730552	Touching the Void: The True Story of One Man's Miraculous Survival	Joe Simpson	1988	
1293	60731427	How Soccer Explains the World: An Unlikely Theory of Globalization	Franklin Foer	2004	
1294	60731486	The Other Side of the Story	Marian Keyes	2004	
1295	60733357	The Confusion	Neal Stephenson	2004	
1296	60733497	The Lions of Al-Rassan	Guy Gavriel Kay	1995	
1297	60734000	Touching Spirit Bear	Ben Mikaelsen	1997	
1298	60734086	Fairest	Gail Carson Levine	2006	
1299	60734566	Match Me If You Can	Susan Elizabeth Phillips	2005	
1300	60734574	Natural Born Charmer	Susan Elizabeth Phillips	2004	
1301	60735414	Bloodsucking Fiends	Christopher Moore	1995	
1302	60735422	Practical Demonkeeping	Christopher Moore	1992	
1303	60735430	Coyote Blue	Christopher Moore	1994	
1304	60735449	Island of the Sequined Love Nun	Christopher Moore, Oliver Wyman	1997	
1305	60735457	The Lust Lizard of Melancholy Cove	Christopher Moore	1999	
1306	60737557	Suicide Notes	Michael Thomas Ford	2008	
1307	60739428	Catherine, Called Birdy	Karen Cushman	1994	
1308	60739495	Walk Two Moons	Sharon Creech	1994	
1309	60740221	Shakespeare: The World as Stage 	Bill Bryson	2007	
1310	60741872	Alas, Babylon	Pat Frank	1959	
1311	60744510	Midnight	Erin Hunter	2005	
1312	60744545	Moonrise	Erin Hunter	2005	
1313	60744871	The Pursuit of Happyness	Chris Gardner	2006	
1314	60747226	Son of a Witch	Gregory Maguire, Douglas Smith	2004	
1315	60748125	When Nietzsche Wept: A Novel of Obsession	Irvin D. Yalom	1992	
1316	60750863	The System of the World	Neal Stephenson	2004	
1317	60751576	El coronel no tiene quién le escriba	Gabriel García Márquez, J.S. Bernstein	1961	
1318	60751584	La increíble y triste historia de la cándida Eréndira y de su abuela desalmada	Gabriel García Márquez, Gregory Rabassa	1972	
1319	60751649	Haunted	Meg Cabot	2003	
1320	60751967	How to Marry a Millionaire Vampire	Kerrelyn Sparks	2005	
1321	60753943	Winning	Jack Welch, Suzy Welch	1992	
1322	60755806	Faith	Jennifer Haigh	2011	
1323	60755865	Avalon High	Meg Cabot	2005	
1324	60757353	The Pigman	Paul Zindel	1968	
1325	60757639	Forest Mage	Robin Hobb	2006	
1326	60758287	Shaman's Crossing	Robin Hobb	2005	
1327	60759968	Little Altars Everywhere	Rebecca Wells	1992	
1328	60760885	One Crazy Summer	Rita Williams-Garcia	2010	
1329	60763280	Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth	T. Harv Eker	2005	
1330	60763892	The Judas Strain	James Rollins	2007	
1331	60764899	The Lion, the Witch and the Wardrobe	C.S. Lewis	1950	
1332	60764902	The magician's nephew	C.S. Lewis	1953	
1333	60765240	Map of Bones	James Rollins	2005	
1334	60766204	The Spook's Apprentice (The Last Apprentice / Wardstone Chronicles, #1)	Joseph Delaney, Patrick  Arrasmith	2004	
1335	60766212	The Spook's Curse	Joseph Delaney, Patrick  Arrasmith	2005	
1336	60766247	Night of the Soul Stealer	Joseph Delaney, Patrick  Arrasmith	2007	
1337	60773758	A Quick Bite	Lynsay Sands	2005	
1338	60774126	Bite Me If You Can	Lynsay Sands	2007	
1339	60775823	The Runaway Bunny	Margaret Wise Brown, Clement Hurd	1942	
1340	60775971	The Story of Doctor Dolittle	Hugh Lofting, Michael Hague	1920	
1341	60776005	The Voyages of Doctor Dolittle	Hugh Lofting, Michael Hague	1922	
1342	60776099	Brave New World/Brave New World Revisited	Aldous Huxley, Christopher Hitchens	1932	
1343	60776242	Kissing Coffins (Vampire Kisses, #2)	Ellen Schreiber	2005	
1344	60776250	Vampireville (Vampire Kisses, #3)	Ellen Schreiber	2006	
1345	60776390	Pinkalicious	Victoria Kann, Elizabeth Kann	2006	
1346	60777109	The Final Solution: A Story of Detection	Michael Chabon, Jay Ryan	2004	
1347	60786469	Love Medicine	Louise Erdrich	1984	
1348	60786507	The Poisonwood Bible	Barbara Kingsolver	1998	
1349	60786523	A Suitable Boy	Vikram Seth	1993	
1350	60788194	A Fistful of Charms	Kim Harrison	2006	
1351	60788380	For a Few Demons More 	Kim Harrison	2007	
1352	60788704	The Outlaw Demon Wails 	Kim Harrison	2008	
1353	60790598	The Mysteries of Pittsburgh	Michael Chabon	1988	
1354	60795484	The Bad Seed 	William March, Elaine Showalter	1954	
1355	60809086	Strong Poison	Dorothy L. Sayers	1930	
1356	60809248	Le Fantôme de l'Opéra	Gaston Leroux, Alexander Teixeira de Mattos	1909	
1357	60815701	Priestess of the White	Trudi Canavan	2005	
1358	60817321	I Am Not Myself These Days	Josh Kilmer-Purcell	2006	
1359	60822554	Ask the dust 	John Fante, Charles Bukowski	1939	
1360	60824972	The Thief	Megan Whalen Turner	1996	
1361	60825316	The Madonnas of Leningrad	Debra Dean	2006	
1362	60827629	Starlight (Warriors: The New Prophecy, #4)	Erin Hunter	2006	
1363	60827645	Twilight	Erin Hunter	2006	
1364	60827696	Sunset	Erin Hunter	2006	
1365	60827874	The Chronicles of Narnia - The Lion, the Witch, and the Wardrobe Official Illustrated Movie Companion	Perry Moore, Andrew Adamson, C.S. Lewis	2005	
1366	60827882	Trinity: A Novel of Ireland	Leon Uris	1976	
1367	60832819	O Zahir	Paulo Coelho, Margaret Jull Costa	2005	
1368	60833459	The Effective Executive: The Definitive Guide to Getting the Right Things Done (Harperbusiness Essentials)	Peter F. Drucker	1966	
1369	60835273	The Beet Queen	Louise Erdrich	1985	
1370	60837055	The Master Butchers Singing Club	Louise Erdrich	2003	
1371	60837381	The Fixer Upper	Mary Kay Andrews	2009	
1372	60837640	Jinx	Meg Cabot	2007	
1373	60838582	Fast Food Nation : The Dark Side of the All-American Meal 	Eric Schlosser	2001	
1374	60838590	Krakatoa: The Day the World Exploded: August 27, 1883 	Simon Winchester	2003	
1375	60838655	A People's History of the United States: 1492 to Present 	Howard Zinn	1980	
1376	60838728	Bel Canto	Ann Patchett	2001	
1377	60839783	The Surgeon of Crowthorne: a tale of murder, madness & the love of words	Simon Winchester	1998	
1378	60841826	The Queen of Attolia	Megan Whalen Turner	2000	
1379	60842350	The Stupidest Angel: A Heartwarming Tale of Christmas Terror	Christopher Moore	2004	
1380	60845503	The Third Chimpanzee: The Evolution and Future of the Human Animal	Jared Diamond	1991	
1381	60845546	The Boy Next Door (Boy #1)	Meg Cabot	2002	
1382	60851988	Queen of Babble	Meg Cabot	2006	
1383	60852003	Queen of Babble in the Big City	Meg Cabot	2007	
1384	60852550	Animal, Vegetable, Miracle: A Year of Food Life	Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser	2007	
1385	60852577	The Lacuna	Barbara Kingsolver	2009	
1386	60853980	Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett, Neil Gaiman	1990	
1387	60855908	Equal Rites	Terry Pratchett	1987	
1388	60855924	The Colour of Magic	Terry Pratchett	1983	
1389	60856262	First They Killed My Father: A Daughter of Cambodia Remembers 	Loung Ung	2000	
1390	60858796	Wasted: A Memoir of Anorexia and Bulimia 	Marya Hornbacher	1997	
1391	60859512	Misquoting Jesus: The Story Behind Who Changed the Bible and Why	Bart D. Ehrman	2005	
1392	60872985	Next	Michael Crichton	2006	
1393	60874163	Beastly (Beastly, #1, Kendra Chronicles, #1)	Alex Flinn	2007	
1394	60874198	A Kiss in Time	Alex Flinn	2008	
1395	60875070	Lullabies for Little Criminals	Heather O'Neill	2006	
1396	60878061	Keeping Faith	Jodi Picoult	1999	
1397	60880120	How to Be Popular	Meg Cabot	2006	
1398	60882077	Queste	Angie Sage, Mark Zug	2008	
1399	60882867	El otoño del patriarca	Gabriel García Márquez, Gregory Rabassa	1975	
1400	60885378	Little House In The Big Woods	Laura Ingalls Wilder, Garth Williams	1932	
1401	60885386	Farmer Boy	Laura Ingalls Wilder, Garth Williams	1933	
1402	60885416	By the Shores of Silver Lake	Laura Ingalls Wilder, Garth Williams	1939	
1403	60885424	The Long Winter (Little House, #6)	Laura Ingalls Wilder, Garth Williams	1940	
1404	60885432	Little Town on the Prairie	Laura Ingalls Wilder, Garth Williams	1941	
1405	60885459	The First Four Years	Laura Ingalls Wilder, Garth Williams	1953	
1406	60885599	Billy Lynn's Long Halftime Walk	Ben Fountain	2012	
